onset	duration	sample	type	value
60.0589806977341	0	30030	Markers	event: experimentPt2Start
60.1009813835595	0	30051	Markers	event: anchorsPresented; scale: Likert-Offenheit
61.1349982679289	0	30568	Markers	event: fixationCrossStart
61.6350064325176	0	30818	Markers	event: fixationCrossEnd
62.1530148910315	0	31077	Markers	event: presentedStimulus; stimulus:HTHB09
65.189064466414	0	32595	Markers	event: scalePresented; scale: Likert-Offenheit; stimulus: HTHB09
67.2110974840106	0	33606	Markers	event: optionConfirmed; scale: Likert-Offenheit; stimulus: HTHB09; response: 5
67.2750985290779	0	33638	Markers	event: anchorsPresented; scale: Likert-Heimeligkeit
68.2931151521805	0	34147	Markers	event: fixationCrossStart
68.7931233167692	0	34397	Markers	event: fixationCrossEnd
69.3091317426247	0	34655	Markers	event: presentedStimulus; stimulus:HTHB04
72.3291810567403	0	36165	Markers	event: scalePresented; scale: Likert-Heimeligkeit; stimulus: HTHB04
80.4873142701693	0	40244	Markers	event: optionConfirmed; scale: Likert-Heimeligkeit; stimulus: HTHB04; response: 4
80.5213148253613	0	40261	Markers	event: anchorsPresented; scale: Likert-Offenheit
81.5393314484638	0	40770	Markers	event: fixationCrossStart
82.0393396130525	0	41020	Markers	event: fixationCrossEnd
82.555348038908	0	41278	Markers	event: presentedStimulus; stimulus:LTHB14
85.5753973530237	0	42788	Markers	event: scalePresented; scale: Likert-Offenheit; stimulus: LTHB14
88.7954499329748	0	44398	Markers	event: optionConfirmed; scale: Likert-Offenheit; stimulus: LTHB14; response: 1
88.8294504881668	0	44415	Markers	event: anchorsPresented; scale: Likert-Offenheit
89.8474671112694	0	44924	Markers	event: fixationCrossStart
90.3474752758581	0	45174	Markers	event: fixationCrossEnd
90.8654837343719	0	45433	Markers	event: presentedStimulus; stimulus:LTHB25
93.8855330484876	0	46943	Markers	event: scalePresented; scale: Likert-Offenheit; stimulus: LTHB25
95.269555648069	0	47635	Markers	event: optionConfirmed; scale: Likert-Offenheit; stimulus: LTHB25; response: 1
95.3035562032611	0	47652	Markers	event: anchorsPresented; scale: Likert-Sicherheit
96.3195727937053	0	48160	Markers	event: fixationCrossStart
96.8215809909523	0	48411	Markers	event: fixationCrossEnd
97.3375894168078	0	48669	Markers	event: presentedStimulus; stimulus:LTHB09
100.357638730923	0	50179	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: LTHB09
101.491657248211	0	50746	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: LTHB09; response: 5
