onset	duration	sample	type	value
33.9805000888311	0	16991	Markers	event: experimentPt1Start
34.0185006480829	0	17010	Markers	event: baselineStart
214.019149706041	0	107009	Markers	event: baselineEnd
219.099224469175	0	109549	Markers	event: anchorsPresented; scale: SAM-arousal
220.117239451235	0	110058	Markers	event: fixationCrossStart
220.619246839246	0	110309	Markers	event: fixationCrossEnd
221.135254433296	0	110567	Markers	event: presentedStimulus; stimulus:LTHB18
224.17129911457	0	112085	Markers	event: scalePresented; scale: SAM-arousal; stimulus: LTHB18
231.747410611715	0	115873	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: LTHB18; response: 5
231.845412053996	0	115922	Markers	event: anchorsPresented; scale: Likert-Schnheit
232.863427036057	0	116431	Markers	event: fixationCrossStart
233.363434394633	0	116681	Markers	event: fixationCrossEnd
233.881442018118	0	116940	Markers	event: presentedStimulus; stimulus:HTHB12
236.901486463918	0	118450	Markers	event: scalePresented; scale: Likert-Schnheit; stimulus: HTHB12
240.121533853148	0	120060	Markers	event: optionConfirmed; scale: Likert-Schnheit; stimulus: HTHB12; response: 2
240.153534324097	0	120076	Markers	event: anchorsPresented; scale: Likert-Sicherheit
241.171549306157	0	120585	Markers	event: fixationCrossStart
241.671556664734	0	120835	Markers	event: fixationCrossEnd
242.189564288218	0	121094	Markers	event: presentedStimulus; stimulus:HTLB03
245.209608734018	0	122604	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: HTLB03
247.745646056716	0	123872	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: HTLB03; response: 5
247.777646527665	0	123888	Markers	event: anchorsPresented; scale: Likert-Sicherheit
248.795661509726	0	124397	Markers	event: fixationCrossStart
249.295668868302	0	124647	Markers	event: fixationCrossEnd
249.813676491787	0	124906	Markers	event: presentedStimulus; stimulus:HTLB11
252.833720937586	0	126416	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: HTLB11
255.119754580996	0	127559	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: HTLB11; response: 4
255.151755051945	0	127575	Markers	event: anchorsPresented; scale: Likert-Schnheit
256.169770034006	0	128084	Markers	event: fixationCrossStart
256.669777392582	0	128334	Markers	event: fixationCrossEnd
257.187785016067	0	128593	Markers	event: presentedStimulus; stimulus:HTHB19
260.207829461866	0	130103	Markers	event: scalePresented; scale: Likert-Schnheit; stimulus: HTHB19
262.477862869802	0	131238	Markers	event: optionConfirmed; scale: Likert-Schnheit; stimulus: HTHB19; response: 2
262.509863340751	0	131254	Markers	event: anchorsPresented; scale: Likert-Sicherheit
263.525878293377	0	131762	Markers	event: fixationCrossStart
264.025885651953	0	132012	Markers	event: fixationCrossEnd
264.543893275438	0	132271	Markers	event: presentedStimulus; stimulus:HTHB22
267.563937721238	0	133781	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: HTHB22
270.801985375377	0	135400	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: HTHB22; response: 4
270.817985610851	0	135408	Markers	event: anchorsPresented; scale: Likert-Heimeligkeit
271.836000592912	0	135917	Markers	event: fixationCrossStart
272.336007951488	0	136167	Markers	event: fixationCrossEnd
272.852015545539	0	136425	Markers	event: presentedStimulus; stimulus:HTHB22
275.872059991338	0	137935	Markers	event: scalePresented; scale: Likert-Heimeligkeit; stimulus: HTHB22
278.22409460608	0	139111	Markers	event: optionConfirmed; scale: Likert-Heimeligkeit; stimulus: HTHB22; response: 2
278.242094870989	0	139120	Markers	event: anchorsPresented; scale: SAM-valence
279.258109823615	0	139628	Markers	event: fixationCrossStart
279.758117182192	0	139878	Markers	event: fixationCrossEnd
280.276124805676	0	140137	Markers	event: presentedStimulus; stimulus:HTHB22
283.296169251476	0	141647	Markers	event: scalePresented; scale: SAM-valence; stimulus: HTHB22
285.766205602842	0	142882	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: HTHB22; response: 7
285.782205838316	0	142890	Markers	event: anchorsPresented; scale: Likert-Heimeligkeit
286.800220820377	0	143399	Markers	event: fixationCrossStart
287.300228178953	0	143649	Markers	event: fixationCrossEnd
287.818235802438	0	143908	Markers	event: presentedStimulus; stimulus:HTLB13
290.836280218803	0	145417	Markers	event: scalePresented; scale: Likert-Heimeligkeit; stimulus: HTLB13
297.060371818359	0	148529	Markers	event: optionConfirmed; scale: Likert-Heimeligkeit; stimulus: HTLB13; response: 2
297.076372053833	0	148537	Markers	event: anchorsPresented; scale: Likert-Sicherheit
298.094387035894	0	149046	Markers	event: fixationCrossStart
298.59439439447	0	149296	Markers	event: fixationCrossEnd
299.112402017955	0	149555	Markers	event: presentedStimulus; stimulus:HTHB18
302.132446463754	0	151065	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: HTHB18
304.950487936689	0	152474	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: HTHB18; response: 4
304.966488172164	0	152482	Markers	event: anchorsPresented; scale: SAM-arousal
305.984503154225	0	152991	Markers	event: fixationCrossStart
306.484510512801	0	153241	Markers	event: fixationCrossEnd
307.002518136286	0	153500	Markers	event: presentedStimulus; stimulus:HTHB08
310.022562582085	0	155010	Markers	event: scalePresented; scale: SAM-arousal; stimulus: HTHB08
312.542599669309	0	156270	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: HTHB08; response: 8
312.574600140258	0	156286	Markers	event: anchorsPresented; scale: SAM-arousal
313.592615122319	0	156795	Markers	event: fixationCrossStart
314.092622480895	0	157045	Markers	event: fixationCrossEnd
314.610630104379	0	157304	Markers	event: presentedStimulus; stimulus:LTHB19
317.630674550179	0	158814	Markers	event: scalePresented; scale: SAM-arousal; stimulus: LTHB19
319.998709400395	0	159998	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: LTHB19; response: 3
320.016709665304	0	160007	Markers	event: anchorsPresented; scale: SAM-valence
321.032724617931	0	160515	Markers	event: fixationCrossStart
321.532731976507	0	160765	Markers	event: fixationCrossEnd
322.050739599992	0	161024	Markers	event: presentedStimulus; stimulus:LTLB22
325.070784045791	0	162534	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTLB22
327.790824076445	0	163894	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: LTLB22; response: 4
327.80682431192	0	163902	Markers	event: anchorsPresented; scale: Likert-Heimeligkeit
328.824839293981	0	164411	Markers	event: fixationCrossStart
329.324846652557	0	164661	Markers	event: fixationCrossEnd
329.842854276041	0	164920	Markers	event: presentedStimulus; stimulus:HTHB08
332.860898692407	0	166429	Markers	event: scalePresented; scale: Likert-Heimeligkeit; stimulus: HTHB08
335.314934808298	0	167656	Markers	event: optionConfirmed; scale: Likert-Heimeligkeit; stimulus: HTHB08; response: 3
335.330935043773	0	167664	Markers	event: anchorsPresented; scale: SAM-valence
336.348950025834	0	168173	Markers	event: fixationCrossStart
336.84895738441	0	168423	Markers	event: fixationCrossEnd
337.366965007895	0	168682	Markers	event: presentedStimulus; stimulus:LTLB06
340.38500942426	0	170191	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTLB06
342.171035709094	0	171084	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: LTLB06; response: 2
342.187035944568	0	171092	Markers	event: anchorsPresented; scale: SAM-dominance
343.205050926629	0	171601	Markers	event: fixationCrossStart
343.705058285205	0	171851	Markers	event: fixationCrossEnd
344.22306590869	0	172110	Markers	event: presentedStimulus; stimulus:LTLB22
347.243110354489	0	173620	Markers	event: scalePresented; scale: SAM-dominance; stimulus: LTLB22
352.749191387129	0	176373	Markers	event: optionConfirmed; scale: SAM-dominance; stimulus: LTLB22; response: 5
352.765191622604	0	176381	Markers	event: anchorsPresented; scale: Likert-Faszination
353.783206604665	0	176890	Markers	event: fixationCrossStart
354.283213963241	0	177140	Markers	event: fixationCrossEnd
354.799221557291	0	177398	Markers	event: presentedStimulus; stimulus:HTHB06
357.819266003091	0	178908	Markers	event: scalePresented; scale: Likert-Faszination; stimulus: HTHB06
360.255301854074	0	180126	Markers	event: optionConfirmed; scale: Likert-Faszination; stimulus: HTHB06; response: 2
360.271302089548	0	180134	Markers	event: anchorsPresented; scale: SAM-valence
361.289317071609	0	180643	Markers	event: fixationCrossStart
361.789324430185	0	180893	Markers	event: fixationCrossEnd
362.30733205367	0	181152	Markers	event: presentedStimulus; stimulus:LTLB03
365.327376499469	0	182662	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTLB03
369.781442049665	0	184889	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: LTLB03; response: 3
369.79744228514	0	184897	Markers	event: anchorsPresented; scale: Likert-Stress
370.815457267201	0	185406	Markers	event: fixationCrossStart
371.315464625777	0	185656	Markers	event: fixationCrossEnd
371.833472249262	0	185915	Markers	event: presentedStimulus; stimulus:HTHB15
374.853516695061	0	187425	Markers	event: scalePresented; scale: Likert-Stress; stimulus: HTHB15
377.439554753617	0	188718	Markers	event: optionConfirmed; scale: Likert-Stress; stimulus: HTHB15; response: 4
377.455554989091	0	188726	Markers	event: anchorsPresented; scale: Likert-Heimeligkeit
378.473569971152	0	189235	Markers	event: fixationCrossStart
378.973577329728	0	189485	Markers	event: fixationCrossEnd
379.491584953213	0	189744	Markers	event: presentedStimulus; stimulus:LTLB12
382.511629399013	0	191254	Markers	event: scalePresented; scale: Likert-Heimeligkeit; stimulus: LTLB12
387.047696156015	0	193522	Markers	event: optionConfirmed; scale: Likert-Heimeligkeit; stimulus: LTLB12; response: 3
387.065696420924	0	193531	Markers	event: anchorsPresented; scale: Likert-Sicherheit
388.083711402985	0	194040	Markers	event: fixationCrossStart
388.583718761561	0	194290	Markers	event: fixationCrossEnd
389.099726355611	0	194548	Markers	event: presentedStimulus; stimulus:HTLB12
392.119770801411	0	196058	Markers	event: scalePresented; scale: Likert-Sicherheit; stimulus: HTLB12
394.439804945204	0	197218	Markers	event: optionConfirmed; scale: Likert-Sicherheit; stimulus: HTLB12; response: 4
